event_idx,C1_in_catalog,C4_z_gw,C5_log10_sky_area,C8_cone_outside,C10_log10_M,C10b_low_M_timeout_bins12,C11_log10_snr,C2_hosted_exact,C3_hosted_rel,C3c_log10_f_cat,C3c_censored,C6_mass_window_retention,C7_log10_n_cand_1d
130,False,0.5155073207456808,-3.58399056077908,,5.803431695535669,False,1.5105327795258774,True,True,-5.654359960945076,False,1.0,1.0413926851582251
131,False,0.10401164365866147,-2.487658571354444,,5.617684587663765,False,1.930637228929713,True,True,1.0647900523000602,False,0.9838347552761563,3.3479151865016914
132,False,0.31670161569488053,-2.552355558505915,,5.891060065427547,False,1.6411365148055677,True,True,-0.9400804500267813,False,0.9996155324875048,3.4153072922255676
133,False,0.3859060945203059,-2.8293410487215667,,5.743910198523387,False,1.4059042023006947,False,False,-320.0,True,,0.0
134,False,0.7950292879130416,-3.337919687532846,,5.727057145460043,False,1.3029317917709384,False,False,-320.0,True,,0.0
135,False,0.20190213723642483,-3.3254752626338666,,5.747913100626599,False,1.807123221323808,True,True,0.3950358568460601,False,0.9961538461538462,2.7168377232995247
136,False,0.503646046573334,-2.5761028247845785,,5.651314801099826,False,1.385781072173632,True,True,-5.552718777258539,False,1.0,2.673020907128896
137,False,0.5000799398807206,-2.6972476003041437,,5.965108769094794,False,1.5771981259807932,True,False,-8.961998419339041,False,1.0,2.2405492482826
138,False,0.38420422774620483,-2.9027684944556054,,5.791935667132001,False,1.7462117267670967,True,True,-2.643561656815913,False,1.0,2.780317312140151
139,False,0.5113662832402811,-3.821642435173118,,5.735777845138031,False,1.5036567396185792,False,False,-320.0,True,,0.0
140,False,0.6165847279140901,-2.7938766540011275,,5.797885160614747,False,1.4523853952018235,True,False,-23.776192043709532,False,1.0,1.0413926851582251
141,False,0.680086661821981,-3.5256901749961345,,5.588849702228617,False,1.3213573227202249,False,False,-320.0,True,,0.0
142,False,0.6824834016644887,-2.9688587716564117,,5.7794331380513935,False,1.3375381253239238,False,False,-320.0,True,,0.0
143,False,0.5095333040783823,-3.1328238347737534,,5.540296824832428,False,1.4042064073931497,True,True,-5.8016188926704855,False,1.0,1.8195439355418688
144,False,0.46254106603106787,-2.114055090092673,,5.79156690163298,False,1.500703780885635,False,False,-320.0,True,,0.0
145,False,0.40955349455068474,-4.0314594906872,,5.791756154271145,False,1.6586373782673212,True,True,-3.8849093415244855,False,1.0,1.4313637641589874
146,False,0.38486079307676596,-1.8764842529450771,,5.440983860209017,False,1.3516355618583469,False,False,-320.0,True,,0.0
147,False,0.7413030900315406,-3.475422384739698,,5.787420645937256,False,1.3652805011532503,False,False,-320.0,True,,0.0
148,False,0.7964577001773142,-2.727630611053712,,5.984862556060072,False,1.3018742344022403,True,False,-29.10510908755417,False,1.0,0.6020599913279624
149,False,0.7757756450406608,-2.0386408171205366,,6.045256093505042,False,1.4053559366272708,False,False,-320.0,True,,0.0
150,False,0.33758694342690476,-1.926388270459779,,5.611476563176382,False,1.3778503106311515,True,True,-1.9996518527292455,False,1.0,3.673941998634088
151,False,0.19966307008086132,-3.013138950637427,,5.72140669345239,False,1.7048772977935858,False,False,-320.0,True,,0.0
152,False,0.49805156319305127,-4.08090311508098,,5.55995504598556,False,1.4789383433000227,True,False,-6.9854157444770175,False,1.0,1.1760912590556813
153,False,0.5946377775426522,-1.979581119271457,,5.696646658111718,False,1.3463901550225637,False,False,-320.0,True,,0.0
154,False,0.7036048030975991,-2.866899579360259,,5.665533746835899,False,1.3188853816012251,True,False,-25.562890357038473,False,1.0,0.6020599913279624
155,False,0.3540184366149807,-3.05974723583772,,5.750828398166828,False,1.7395068214541323,False,False,-320.0,True,,0.0
156,False,0.2696566091746834,-2.897199464849221,,5.697717910003306,False,1.5438754913152763,False,False,-320.0,True,,0.0
157,False,0.36735015401391474,-2.232970632467301,,5.820877322153491,False,1.495943616763497,False,False,-320.0,True,,0.0
158,False,0.12867005610566282,-3.4976112010104354,,5.64328564421255,False,2.181677680652225,True,True,0.991900624581161,False,0.976027397260274,2.4668676203541096
159,False,0.3174347472760734,-3.0374414646191013,,5.795205785055617,False,1.3752819641363372,True,True,-1.0626550848287415,False,1.0,3.059941888061955
160,False,1.017532357582283,-2.6147084837902335,,5.76366487707044,False,1.3349066480814535,False,False,-320.0,True,,0.0
161,False,0.8596429182840823,-2.5466509452891297,,5.845124386437287,False,1.3079274386949464,False,False,-320.0,True,,0.0
162,False,0.410822897298733,-4.000259283948661,,5.652801929764821,False,1.5769328878433087,False,False,-320.0,True,,0.0
163,False,0.3604759437484828,-1.8331973967997346,,5.504819223711019,False,1.4299448874605891,True,True,-1.7337436708680376,False,0.999898538961039,3.993744756554462
164,False,0.5078167384081724,-4.019913077457594,,5.70740075175449,False,1.5630277401678487,True,False,-13.87713503577834,False,1.0,1.0
165,False,0.3223361092583343,-2.8586654557414413,,5.749198709586991,False,1.6308946873101466,True,True,-1.0693309754942832,False,1.0,3.1360860973840974
166,False,0.5816629930607304,-3.76232419439747,,5.8399205907450416,False,1.479114002160737,False,False,-320.0,True,,0.0
167,False,0.48330746186252405,-3.595888957710019,,5.50336844983933,False,1.3602250364838997,False,False,-320.0,True,,0.0
168,False,0.3584298366739119,-2.7843330789761604,,5.769637211549806,False,1.6686228186254242,True,True,-1.961565494520688,False,1.0,2.9849771264154934
169,False,0.18126639576787415,-2.507107089953783,,5.433084523619734,False,1.6442633148085086,True,True,0.7302282572257102,False,0.9985214391325776,3.6084190513172856
170,False,0.5136339803939092,-3.70322251869838,,5.957160521134054,False,1.6350335372776248,True,True,-5.5876909022786485,False,1.0,0.6020599913279624
171,True,0.04242691524518447,-4.802493461029736,0.0,5.368148747166792,False,2.2260233887149585,True,True,1.143008417481379,False,0.8571428571428571,0.9030899869919435
172,False,0.16994660401538791,-3.0981178986261004,,6.030864763979452,False,1.6016139904705557,True,True,0.8190727513660496,False,0.9908536585365854,2.9934362304976116
173,False,0.36499963409374697,-2.7156660427243544,,5.7169973880206735,False,1.4624432414581234,True,True,-1.797303801465275,False,1.0,3.0726174765452368
174,False,0.6906420562491145,-2.1117456791828326,,5.73275143836428,False,1.4754679575584582,True,False,-37.08952259252516,False,1.0,0.7781512503836436
175,False,0.31042347031083606,-3.5918711732752393,,5.358322006193016,False,1.33995970981273,True,True,-1.0613117052870042,False,0.9906103286384976,2.330413773349191
