event_idx,s1d,s2d,ds,cat_e,g_e,c_prime,in_catalog,SNR,log10_SNR,sigma_dL_over_dL,z_e,m_e,ln_M_ratio_signed
969,-0.18456379401396977,-0.030027571867385888,0.15453622214658388,False,0.2012761,1.0,False,24.471994948596542,1.388669374331441,0.03978239023927399,0.4837850246828684,0.9035558480753861,-0.9035558480753861
970,-0.44041862599941656,-0.2765136157512058,0.16390501024821075,False,0.15155259999999998,1.0,False,26.612907883648308,1.425092330726707,0.040613345404346725,0.5406176784979243,0.20488644423484897,-0.20488644423484897
971,-0.44944372498978385,-0.2821084237229596,0.16733530126682428,False,0.1458548,1.0,False,30.39437770041368,1.4827932559934291,0.036301405487912754,0.5569446056898929,0.10491596334315077,-0.10491596334315077
972,0.12116342232877375,0.30729996974194734,0.1861365474131736,False,0.14325525,1.0,False,31.621321045362297,1.4999800095154439,0.03141444403923585,0.366686632103491,0.19801531077410553,-0.19801531077410553
973,-0.8050774133857346,-0.6070209327768689,0.19805648060886571,False,0.12319530000000001,1.0,False,22.59793127257548,1.3540686834824684,0.0499839354132966,0.7676032915317917,0.4185409998522128,0.4185409998522128
974,-0.3331606468942369,-0.17942567606805665,0.15373497082618026,False,0.1656607,1.0,False,27.17882033382198,1.4342306027412204,0.04333551754107074,0.4839577842480013,0.4505723949193373,-0.4505723949193373
975,-0.5315115660003751,-0.35831389400824387,0.1731976719921312,False,0.14210024999999998,1.0,False,21.86788771973779,1.3398068353483155,0.051977852227061146,0.5973008033424532,0.01771780051037287,-0.01771780051037287
976,-0.6594096384771925,-0.47474642784539567,0.1846632106317968,False,0.13289855,1.0,False,27.727353561119,1.44290842029369,0.03833736228373196,0.6709210245886198,0.18428601716418738,0.18428601716418738
977,-0.7670659256213235,-0.572495880731338,0.19457004488998553,False,0.13084675,1.0,False,24.331846527573926,1.3861750684995011,0.044633505661591986,0.7412121310548672,0.2629189995035676,0.2629189995035676
978,0.18142504695184397,0.286511892128338,0.10508684517649403,False,0.13459575000000001,1.0,False,60.11395901594316,1.7789753308992236,0.01710377076612403,0.2664352794051324,0.13245435573101025,-0.13245435573101025
979,-0.3324232266436408,-0.17176120050663699,0.16066202613700384,False,0.14282925000000002,1.0,False,29.019622590224376,1.4626917599952802,0.03886591045720149,0.5225341057864581,0.0792064257034194,-0.0792064257034194
980,-0.26804229823973436,-0.1203954265022843,0.14764687173745006,False,0.1324684,1.0,False,35.85215741003731,1.554515294538916,0.029104107670416705,0.45174734837064373,0.04656758883263403,0.04656758883263403
