event_idx,host_galaxy_index,stellar_mass_1e10_Msun,host_redshift,BH_mass_Msun,sigma_M_Msun,sigma_M_fractional,sigma_M_dex,ds
889,859360,0.3,0.0221785310893,709540.708756878,701729.1079433118,0.9889906234876189,0.4295131704347294,38.71720090865148
900,14949854,2.0,0.21048599,5200935.830429927,4181141.593890627,0.8039210115662971,0.3491384592093231,0.007726483607672918
904,12265839,2.0,0.140901,5200935.830429927,4181141.593890627,0.8039210115662971,0.3491384592093231,-0.35685481806764197
910,16860066,0.1,0.073169,223872.11385683485,291758.99489010876,1.3032395587986776,0.5659897489842941,-1.002320560705793
946,19337626,1.5,0.17213701,3844995.3773653232,3395307.60996246,0.8830459536960485,0.3835019849571883,2.804256983481321
981,15789446,2.0,0.1293619999999999,5200935.830429927,4181141.593890627,0.8039210115662971,0.3491384592093231,0.19189079289008126
1030,9517996,0.6,0.116104,1469125.215627091,1609829.687513455,1.0957743222903602,0.4758887415819788,-0.5528348695547076
1034,8976784,0.6,0.140689,1469125.215627091,1413032.9861542701,0.9618192997600425,0.4177128144738361,-1.7841198849032107
1036,8876070,1.0,0.188528,2511886.431509587,2247225.256107703,0.8946364883053933,0.38853569018033535,-0.22471388831917216
1061,11551111,7.0,0.26802099,19379962.93080633,16224406.858715426,0.8371742978375443,0.36358017794207487,-0.6368718905297216
1100,9091384,1.3,0.19774701,3308571.465756485,2972567.863595078,0.8984445082601286,0.39018949223365434,-1.4469531138878708
1121,2703833,0.3,0.113776,709540.708756878,894866.2758100418,1.261190886958207,0.547728242832617,-0.6367716880819602
1130,16721267,0.5,0.096175,1213161.179164252,1302955.3609249361,1.0740166956401815,0.4664395243884951,-0.37039589823581986
1202,6058492,6.0,0.264961,16483856.036139512,12959538.920472031,0.7861958325806351,0.3414405117851026,-0.2603367087248283
1210,8573165,2.0,0.13514,5200935.830429927,4181141.593890627,0.8039210115662971,0.3491384592093231,-0.44726369623244683
1247,17625658,5.0,0.23435301,13611892.310650198,11725481.564707601,0.8614145114513848,0.3741075689547219,0.4302356529092495
1251,6438311,3.0,0.219451,7961177.69303711,7326278.001474126,0.920250531260184,0.3996597276948338,-0.4472713778906009
1285,12731114,0.2,0.072490998,463533.8938044081,591255.4174405894,1.2755386938114055,0.5539594161763749,-3.7652706638887388
1310,7086442,0.4,0.105728,959760.7625346358,999648.6734767877,1.0415602642858746,0.4523438753490479,-0.2912961586523541
1317,17480943,0.1,0.046479002,223872.11385683485,500890.19617228303,2.2373943209943508,0.9716880074495193,-0.17634345484553982
1322,12880143,3.0,0.249291,7961177.69303711,5511993.34490642,0.6923590400107813,0.30068771057251503,-0.3673060082141961
1324,1617380,4.0,0.13828065914,10768692.872787867,10603946.429873087,0.9847013518854187,0.4276503634465096,0.004116192224490334
1334,18308280,5.0,0.22933599,13611892.310650198,11725481.564707601,0.8614145114513848,0.3741075689547219,-3.7400180488629227
1336,14351320,0.7,0.167788,1727241.0143078375,1530230.8603857222,0.8859393956661782,0.3847585908385229,-1.0163111514225767
1342,15108379,0.9,0.16612101,2248819.6886601276,2132800.94194093,0.9484090488427186,0.4118888164995043,-0.08709363994192643
1379,11898456,0.5,0.12624399,1213161.179164252,1302955.3609249361,1.0740166956401815,0.4664395243884951,0.02513988772463449
1473,14038476,0.9,0.16372199,2248819.6886601276,2132800.94194093,0.9484090488427186,0.4118888164995043,-0.473984750533329
1476,5739960,5.0,0.22330301,13611892.310650198,11725481.564707601,0.8614145114513848,0.3741075689547219,-0.3973733718607871
1484,7571019,2.0,0.2359369999999999,5200935.830429927,4181141.593890627,0.8039210115662971,0.3491384592093231,-1.0732339383332947
1509,7300092,0.1,0.038178001,223872.11385683485,291758.99489010876,1.3032395587986776,0.5659897489842941,0.5964708031010342
1513,4368917,3.0,0.1950339999999999,7961177.69303711,7326278.001474126,0.920250531260184,0.3996597276948338,-0.21766570190768753
1536,1563561,4.0,0.114710247355,10768692.872787867,10603946.429873087,0.9847013518854187,0.4276503634465096,-0.2315943269667109
1541,6865507,1.1,0.1252,2776273.958490299,2750352.9424427445,0.9906633796105446,0.4302396391884859,-0.3935537457186552
1545,13413468,0.8,0.153883,1987213.3054627255,1653256.459551448,0.8319471568586769,0.36131005945882244,0.6716471344816448
1574,6341157,0.9,0.123969,2248819.6886601276,2132800.94194093,0.9484090488427186,0.4118888164995043,-0.25159221060704295
