arm,seed,event_idx,z_true,host_galaxy_index,in_catalog,host_draw_mode,s_tilde_phi_host,SNR,candidate_count_no_bh,candidate_count_with_bh,h_fiducial_used,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,combined_no_bh,combined_with_bh,impostor_share_proxy_no_bh
bc,900101,119,0.2998524625569221,6653039.0,True,catalogue_selected,0.6294777067578162,31.404009484239744,12357,2127,0.73,0.0159659688579,4.2155090174601495e-05,4763273.493235747,1035735.135197388,0.2174419,0.0076140639881537,0.00109620716047,
bc,900101,120,0.1152437726154429,14745158.0,True,catalogue_selected,0.863518599511023,69.50825315901089,281,215,0.73,0.0119116927665392,0.0027891980314783,177748.5663366295,20730.04543914616,0.1166257,0.002116037239284,0.0001947258899315,
bc,900101,122,0.2792774797574033,19786113.0,True,catalogue_selected,0.5767059951292283,56.20607173499768,719,206,0.73,0.0751078131834062,0.0010653470638999,24748838.346248847,2972904.031619306,0.120123,0.0382904421904773,0.0032049970992397,
bc,900101,123,0.0861655976576593,1742224.0,True,catalogue_selected,0.846386547686835,235.85577567934249,1,1,0.73,0.0024905421739845,0.0002703468154703,215671.64195971796,28770.47528099096,0.1333994,0.0006309084787033,4.713023337961468e-05,
bc,900101,125,0.3047238940814132,5679728.0,True,catalogue_selected,0.5671011413012819,36.65712644823669,2577,261,0.73,0.0288342247555098,1.9498715798042887e-05,8802858.123153469,2044955.7305051396,0.2323059,0.0139625290395915,0.0021604024238703,
bc,900101,128,0.0888327407847143,15215555.0,True,catalogue_selected,0.9334487609501074,45.01669386617085,137,100,0.73,0.0229231877902371,0.0029154709474133,148269.54114687582,25434.83352143561,0.1715446,0.0038675392962961,0.0002075182377419,
bc,900101,130,0.1370241863822973,12411752.0,True,catalogue_selected,0.8373193891210033,81.36575516946877,54,29,0.73,0.0521136408582836,0.0064944212528445,1693894.487689169,238390.8230685548,0.1407353,0.0102250896451768,0.0006541469427857,
bc,900101,132,0.1592856858875706,13388057.0,True,catalogue_selected,0.7160327189764019,191.1097339359392,165,29,0.73,0.0186896344330923,0.0003181649849073,2173597.4617941133,331006.1509666388,0.1522849,0.0053206480650989,0.0003692129978278,
bc,900101,135,0.1705424303952714,15166534.0,True,catalogue_selected,0.867113965046703,29.56506635502989,36002,13221,0.73,0.0591836345800455,0.0019335757254394,2888173.9556386634,555950.0502345721,0.1924919,0.012630632252019,0.0007068249551597,
bc,900101,136,0.1611861188903268,12170382.0,True,catalogue_selected,0.8150599579600439,125.25829128233202,192,112,0.73,0.0761112964274801,0.0159437843841483,3490985.482598866,353670.47756490594,0.1013096,0.0160075027008714,0.0013614137079954,
bc,900101,137,0.1221211887272887,992170.0,True,catalogue_selected,0.9158968668898944,54.3008437800032,125,86,0.73,0.0282727137958422,0.0053160587578334,1023144.4575758624,118983.42453536314,0.1162919,0.0056573113720459,0.0004550496254962,
bc,900101,138,0.1944133689510439,19741494.0,True,catalogue_selected,0.6255821476469344,75.18426845986467,248,50,0.73,0.0797525035003376,0.0007482984773833,8072881.420168519,1635676.8262745857,0.2026138,0.0214348268533805,0.001773421179578,
bc,900101,140,0.1827562764886093,10312353.0,True,catalogue_selected,0.6819950515286375,167.92971655824752,323,88,0.73,0.0868586381660352,0.0004792592469039,6822106.692431007,1498356.6874770415,0.2196325,0.021264576719296,0.0016117583436027,
bc,900101,142,0.2054208111172219,9398417.0,True,catalogue_selected,0.778078109065497,88.46775212145687,129,37,0.73,0.0711776097283199,0.0024932074130877,9128833.735061172,1466409.0366612575,0.1606349,0.0211615967715538,0.0017028239906668,
bc,900101,143,0.1136972330867059,14836215.0,True,catalogue_selected,0.8598862757051501,50.57449373515,81,56,0.73,0.0164568402126958,0.0025636665404064,394636.58574840985,56905.46796506133,0.1441971,0.0030808457941404,0.0002189467247217,
bc,900101,144,0.216827094939395,4932973.0,True,catalogue_selected,0.8782518950746692,38.93408877311971,554,137,0.73,0.0300822246814933,0.0008345871217622,4652926.071754744,740689.081722933,0.1591878,0.0097828032839982,0.000833783306517,
bc,900101,145,0.1563104997514293,19802984.0,True,catalogue_selected,0.7723018402516506,48.12419494250376,681,333,0.73,0.0490400616778942,0.0061878467716219,3431543.344459719,428966.26042778575,0.1250068,0.0115622343776312,0.0008363711421934,
bc,900101,146,0.3162451343558667,14059420.0,True,catalogue_selected,0.6025916105588135,80.98549230158378,52,2,0.73,0.012021925505976,2.71210769249122e-06,7826619.63615195,1486890.3561456816,0.1899786,0.0102100464968479,0.0015701213418169,
bc,900101,147,0.29784730905758,6551159.0,True,catalogue_selected,0.7904819812533951,386.9752492241015,10,1,0.73,0.0070240391743329,3.375962206833524e-42,5277927.614405534,1232458.5773279972,0.2335118,0.0067098782160926,0.0013013080482109,
bc,900101,153,0.3196050617312394,13826767.0,True,catalogue_selected,0.5606276965452608,21.96883900076013,6825,307,0.73,0.0189453964288691,1.153438047858438e-06,26633265.789169174,6366160.850304735,0.2390304,0.0311881242680261,0.0067218684611179,
bc,900101,155,0.1126748086755113,3744116.0,True,catalogue_selected,0.8026456555016711,89.4837444172793,30,20,0.73,0.0388472598719883,0.0086817771373559,786624.5980502879,122198.86577667826,0.1553458,0.0071194698148599,0.0006670076286422,
bc,900101,156,0.3004654312261997,4800964.0,True,catalogue_selected,0.5696866030724589,217.3384971767157,52,1,0.73,0.0902164435621652,3.544903855483673e-06,26670262.20076376,6247483.911861638,0.2342491,0.0427651080917259,0.0065967100030694,
bc,900101,157,0.2123659841197258,2087166.0,True,catalogue_selected,0.6496899869069412,47.39194137175564,293,70,0.73,0.0904403128474996,0.0019785414507707,10436401.406487089,1737118.1294829897,0.166448,0.0256606084664867,0.0019567636216285,
bc,900101,161,0.2122607279789302,6939736.0,True,catalogue_selected,0.6126812959334813,226.6449486495829,58,17,0.73,0.1007553997170216,0.0003005426024438,7976143.79118276,1935944.3415850787,0.2427168,0.0247328000332868,0.0020627166772236,
bc,900101,162,0.2623404550473099,9969727.0,True,catalogue_selected,0.6460666823485868,32.93212530231793,772,132,0.73,0.0837223351033842,0.0002341191060448,24242141.20638809,5284093.259596371,0.2179714,0.0391500260911697,0.0055937889155214,
bc,900101,163,0.1835935609880283,13562284.0,True,catalogue_selected,0.8435770378495374,34.20521768923424,11831,2018,0.73,0.0305396613464395,0.0011992898982632,2683479.0091870595,425737.5139304682,0.1586513,0.0077773894460084,0.0005238369154168,
bc,900101,164,0.2958653023239258,6755313.0,True,catalogue_selected,0.6180724722022309,50.79143476226123,66,6,0.73,0.0351004769702364,6.882984194058037e-06,29183686.182444427,8338483.977113557,0.2857242,0.0364963322937567,0.0088047275366409,
bc,900101,165,0.0877051909430371,17392610.0,True,catalogue_selected,0.9433710936676134,262.3441467922373,24,18,0.73,0.0985278317030529,0.0271904873937238,368575.6298226381,49255.7042000264,0.133638,0.0163396300335359,0.0017369159131305,
bc,900101,166,0.1484576121532615,15452951.0,True,catalogue_selected,0.7651945783616028,43.048423697750906,253,118,0.73,0.0286123807698108,0.002088904866074,1265374.3572405083,206376.7411515017,0.1630954,0.0059680610614185,0.0003473485077038,
bc,900101,168,0.1728456684703026,16049397.0,True,catalogue_selected,0.771324871527004,46.62542662222315,2965,1131,0.73,0.039730912754853,0.0022790542176901,2789309.164769938,411547.63431853184,0.1475446,0.0093770841011118,0.0005757639232408,
