seed,event_idx,z_true,host,dL,SNR,sig_dL,evaluated,z_g,sigma_g,mu_k,mu_p,sd_k,sd_p,pull_p,pull_k,pull_g,C_b,C_s
900101,35,0.1596948183227915,5226467,0.6743854809177551,21.501049876003226,0.078355535237357,False,0.154348,0.0381492108641684,0.1623788810276966,0.1596122120478184,0.0349862120080493,0.0345301090526199,0.0023922969616806,-0.0767177282378439,0.1401554108636486,-2.193072219437956,-0.04731702341443807
900101,36,0.3208748907104888,16028685,1.5619415876951432,27.9127610375079,0.1479925978266855,True,0.313424,0.0433955236076195,0.302313095414993,0.2969359414354899,0.0407369393351422,0.0406559117772342,0.5888184086527786,0.455650218166568,0.1716972187698312,-3.754001323908926,0.07528051009155974
900101,37,0.1655035525152938,9643684,0.7554198675497475,112.76986331146492,0.0032522237457575,True,0.146344,0.0378609041764519,0.1575824307181343,0.1549349636848384,0.0349063750150137,0.034442701867877,0.3068455219046618,0.2269247893472885,0.5060511081827345,-2.1190913226876265,-0.0598420597281584
900101,38,0.186448089725292,14102738,0.8727975559803253,485.945860890477,0.0004329189418932,True,0.1347529999999999,0.0374910991366811,0.1467539108059159,0.1444487619230177,0.0341827344257784,0.033736644490106,1.244917164615806,1.1612347457329582,1.3788630079056257,-1.8667592559207724,-0.057880039964862004
900101,39,0.0646715075295443,20098525,1e-06,27.10906235075202,0.1076235424856875,False,0.0444151487404516,0.034449547979161,0.0766246040814592,0.0759242434924384,0.027087537920672,0.0269047818395882,-0.4182429736834588,-0.4412765968956105,0.5880007134301457,-0.6266174696751587,-0.048258581473504966
900101,40,0.1917452250397802,12538079,0.941345821851626,60.17458900837416,0.044583405137811,True,0.138308,0.0375794860183495,0.1477048844328859,0.1454026807474182,0.0340117545039296,0.033573309364093,1.3803388813950437,1.2948564768043902,1.4219786032647603,-1.8602945206232329,-0.04797717000122901
900101,41,0.0554740023915666,6723980,0.516414029590786,23.549638102057145,0.1986010604190357,False,0.090914,0.0360407549953726,0.110781899538479,0.1094384291482593,0.0314484580788011,0.0311333596686284,-1.7333312990011196,-1.7586839077555434,-0.9833311653150348,-1.1408907446232297,-0.05678468254814464
900101,42,0.2650138365991381,1869290,1.3535977345442078,26.024497205416377,0.0947243784433178,True,0.195976,0.0395508308594208,0.2015229541625421,0.1976073553271547,0.0371490138613885,0.0368140364236983,1.830999472489023,1.7090866173055037,1.7455470618183897,-2.976500419568099,-0.0346885229077352
900101,43,0.0947836839453766,9128213,0.409478362664424,46.53492987019028,0.0350528625856063,True,0.102547,0.0363936851509001,0.1205886179447215,0.1190064252579266,0.0323608605932748,0.0320019090024273,-0.7569155112188095,-0.7974118588399858,-0.2133149204988215,-1.3296115082666002,-0.060514124674945796
900101,44,0.1825151533281969,18277738,0.8270896181334053,28.221080287222023,0.1145229236476815,False,0.201079,0.0396968745674862,0.2052636919891441,0.2012767725367255,0.037229473431667,0.0369175310629035,-0.508203519259205,-0.6110357349722143,-0.4676400062741428,-3.0214402457192175,-0.026512136609202895
900101,45,0.1888547338007785,9463525,0.7439042138932679,32.692422632788684,0.0677035221733293,True,0.173191,0.0387488338607266,0.1806926991079153,0.1773495376404758,0.0360896292673567,0.0356623546646254,0.3226145964981669,0.2261601146522658,0.404237553498462,-2.601178935206023,-0.04701066357999242
900101,46,0.1632610875542008,11157947,1.1144535268799018,20.189577352437272,0.2485829547609592,False,0.125532,0.0371756245401545,0.1387422984399277,0.1366773009800946,0.0336347762873076,0.0332107441596256,0.8004574196330126,0.7289713748899074,1.0148877933025302,-1.689006869299774,-0.057737594568258443
900101,47,0.0786336182182864,5597014,0.3344400173810537,128.75812784012476,0.0059661072233063,True,0.114488,0.0368290359785008,0.1300992662856819,0.1282683887860193,0.033098002857928,0.0327008491480945,-1.5178434768757405,-1.554947236191557,-0.9735357124917372,-1.5146210394863995,-0.06035231351877509
900101,48,0.2137940366463156,2112239,1.0622869688271406,33.15594036354117,0.1067454202947199,False,0.2111039999999999,0.0400559613212592,0.2130581758758493,0.2089146203302339,0.0374966118842887,0.0372289627212345,0.1310650622371099,0.019624726968322,0.0671569613506691,-3.111000530270373,-0.012807915905348527
900101,49,0.1929710973720788,8187810,1.0591201269781745,28.389459458991567,0.1829461828386643,False,0.131093,0.0373437786892179,0.1434887833966967,0.1412855400219606,0.0339425170856693,0.0335053663173907,1.5426053504537014,1.4578268856870855,1.6569854348977435,-1.7935777642409796,-0.05763332825658089
900101,50,0.0393549021156931,19869336,0.1888487927905379,22.854022805010167,0.1660704761459853,False,0.093011,0.0361573829603212,0.1121864354669251,0.1108113926357264,0.0315748867197053,0.0312538102835913,-2.286328926670068,-2.3066284923764773,-1.4839596644256206,-1.1612577631053378,-0.05603137827714401
900101,51,0.0951550641294631,6521323,0.4181078711717934,307.13263456812825,0.0007764467209021,True,0.086847,0.0358995923557719,0.1071674353145122,0.1059092220824041,0.0310411084271872,0.0307435438346598,-0.3498021571871273,-0.3869826753521526,0.2314250269788188,-1.0739465490791786,-0.05444990644968458
900101,52,0.0629042242236552,793718,0.2635520968405252,53.10727783499081,0.0310816256811431,False,0.058433,0.0024367037304777,0.0586154148766206,0.0586104981689627,0.0024309708335669,0.0024309405426475,1.7662818071297235,1.764237270071079,1.8349478304359332,-0.8171585007769933,-0.00034825351428533635
900101,53,0.2515611512888651,7553715,1.0849098960414794,25.49660536884356,0.1623390336195466,False,0.260788,0.0416364320316912,0.2570763659643027,0.2522332593995419,0.0391771077746009,0.0390711114727307,-0.0172021753500894,-0.1407764633154779,-0.2216051727033672,-3.5166415909608157,0.028368969595248376
900101,54,0.1702796821010072,2793477,1.1506568346269486,21.78694818995912,0.1983491637983024,False,0.151031,0.0380646392431647,0.1608688975203386,0.1581259812949597,0.0350509357031941,0.0345883966842339,0.3513808667398378,0.2684888261003262,0.5056840806514065,-2.1770003439208936,-0.054840160465662056
900101,55,0.0473951796884417,3781718,0.1967199172547572,87.42875499752449,0.0138309806589699,True,0.0396228694159244,0.0342755307219552,0.0735228298789627,0.072869163696097,0.0265538592100758,0.0263803558507853,-0.9656421676698892,-0.9839492626596048,0.226759735263231,-0.5883121081306536,-0.04755201707147527
900101,56,0.1708652742832236,9432747,0.8128538513684567,21.0135004973888,0.2141973285859441,False,0.106463,0.0365214521680653,0.122978524598497,0.1213453868257512,0.0324652393051466,0.0320996756405635,1.542691210091087,1.4750160697917667,1.7634094610163815,-1.3662738354921198,-0.05748282661587579
900101,57,0.1422244933614608,2804068,0.5355388874826845,22.25049150799257,0.1445555458672357,False,0.140002,0.0377009737502407,0.1510820286850389,0.1486445195953616,0.0344568885909185,0.0340026312262083,-0.1888096892028888,-0.2570613797646424,0.0589505559242123,-1.9581748354321422,-0.056223395085116444
900101,58,0.2118153786966063,3283709,1.154997130669374,23.53559262250576,0.1821860512275023,False,0.22557,0.0405261805112346,0.2259050317483747,0.221516626602077,0.038021368395928,0.0378170368079245,-0.2565311490359233,-0.3705719611416561,-0.3394008793792117,-3.2592942435264685,-0.0004848242649517465
900101,59,0.1721179190405361,16126264,0.6252276952397591,23.008043537725896,0.1851524681846637,False,0.221744,0.040382441445947,0.2244593926862132,0.220067151571745,0.0380982656542371,0.0378829952264969,-1.2657191503609315,-1.3738544982783454,-1.2289024433029825,-3.2759579771910006,-0.01383183643309584
900101,60,0.1726961290631561,19403816,0.8009224183411431,184.21296492154545,0.002569790564635,True,0.11993,0.0370218486102542,0.1338437497404241,0.1319184422561292,0.0332930030903057,0.0328852249801072,1.2400002381523592,1.1669833213106855,1.4252699701370692,-1.5830579100360638,-0.056876045096742926
900101,61,0.0435946990669981,17186910,0.1558779283514761,22.55049760452549,0.2145416746321462,False,0.0570549999999999,0.0349251248772879,0.0850770903773278,0.0842416248754674,0.028393933780882,0.0281836311249762,-1.4422174924241122,-1.4609596412547894,-0.385404518388856,-0.7341989219743825,-0.049717491260280716
900101,62,0.1480836959539999,16347235,0.7697853990424703,22.01083768057992,0.1500590650993944,False,0.127341,0.0372484840238779,0.1402173746726043,0.1381091814168372,0.0337367948436002,0.0333082414265051,0.2994608574328817,0.2331674161064459,0.5568735613697168,-1.7204114290682655,-0.05749862702403821
900101,63,0.0960325043675014,18234776,0.489879981709104,23.73730644734948,0.0765755834881093,False,0.0443164105497181,0.0344912828645631,0.0763926002054402,0.0756963737015762,0.0270376370649619,0.0268557174615352,0.7572365435796716,0.7263912935465984,1.4993960654017089,-0.6211032162315022,-0.04754838887469643
900101,64,0.0863364036804575,3025776,0.399933063132969,23.203038760836748,0.0956451893786227,False,0.090227,0.0360580750224875,0.1097685977361439,0.1084513547553781,0.031314892708033,0.0310054090764106,-0.713261064236239,-0.7482763640341493,-0.1078980593699509,-1.116788847361512,-0.05472918043726431
900101,65,0.1705399393281713,11302897,0.7981094078049232,33.53663292022108,0.0442728664076316,True,0.210107,0.039945817862619,0.2126888002813167,0.2085572865684384,0.0374598458036981,0.0371905168925997,-1.0222322897542715,-1.1251744380908373,-0.9905182266616014,-3.1171819681086355,-0.01626367650503621
900101,66,0.1367948891495337,3957134,0.6201226193058473,994.9974612426676,9.384412490790375e-05,True,0.1064349999999999,0.0365877651478141,0.1236291892597638,0.1219669679118863,0.0326315604569344,0.0322589321408437,0.4596531953664212,0.403465225242457,0.8297825523608842,-1.3857361884631356,-0.060325439798099754
900101,67,0.017551924931732,20475050,0.1016072662708256,31.874868689032613,0.0810946244814081,False,0.0516649999999999,0.034766073557717,0.081339989184453,0.0805656341100139,0.0278431708149922,0.0276453141784624,-2.2793631054977763,-2.290977011080003,-0.981217364441083,-0.6842658621436591,-0.04873517896456309
900101,68,0.0574103477236867,113303,0.2386475593489646,24.760595599684027,0.1557221225989111,False,0.051672,0.0151022023670541,0.055294084947578,0.0551575498370433,0.0133911710857167,0.0133779833161477,0.1683959258585786,0.1580341825642029,0.3799676089763619,-0.6253474089400773,-0.005846564937837926
900101,69,0.0993905377392477,271050,0.3777362859874614,24.614149642546323,0.1586364198773166,False,0.102092,0.0364181155695182,0.1198839503251192,0.1183211447802974,0.0322855124450001,0.0319301211670731,-0.5928761416844005,-0.634755685565871,-0.0741790786949286,-1.3110247375457895,-0.05897500350324748
900101,70,0.1606565421300305,2613361,0.7398019290851143,1068.0998922314843,6.876249567366295e-05,True,0.204805,0.0398482954200696,0.2075188875638212,0.2034936622146919,0.0372642554662858,0.0369668993793083,-1.1587966749691416,-1.2575682741384315,-1.1079133349260937,-3.036140968262693,-0.018270025259563335
900101,71,0.2390322550328926,15906953,1.2458241128772014,30.85059009204141,0.0700466398370357,True,0.228323,0.040597321740299,0.2274287696283884,0.2230326056201909,0.0379971428008716,0.037802057564572,0.4232481098514712,0.3053778402579769,0.2637921560786618,-3.2623473469407167,0.006473889007788175
900101,72,0.1701270258451639,3626307,0.8432772740641206,35.866096304740985,0.0837335052434078,True,0.096422,0.0362596399380868,0.1149432539070043,0.1135036971323355,0.0318275666713631,0.0314944944983053,1.7978802204898108,1.7338357188270748,2.0327015373295203,-1.2121981730106062,-0.05666505467365038
900101,73,0.29994504788977,7599489,1.3966170313177162,25.788043041640705,0.1492643974581276,False,0.2421219999999999,0.0410242399980792,0.2420290492775844,0.2373668713456848,0.0387203103620516,0.0385749025628832,1.6222510592754646,1.4957524376908644,1.4094849262893705,-3.4313848067647323,0.0055756283587268685
900101,74,0.0818481396595623,15273415,0.356670899509492,275.550638566041,0.0009692188091311,True,0.133241,0.0374485260251755,0.1450670392277484,0.1428173291595105,0.034040301644722,0.0335994821295104,-1.814587179199377,-1.8571780070576516,-1.3723600310967607,-1.8238993601165174,-0.056284064996752516
900101,75,0.1010286881980169,9815280,0.3771890271864641,42.97459085965384,0.0514585044726321,False,0.137653,0.0375774333966978,0.1485139050077812,0.1461665610721483,0.0342131110208994,0.0337667701043445,-1.3367542330714042,-1.3879245526885144,-0.9746357984417728,-1.8963417433833174,-0.054093554823415206
900101,76,0.1562944691931224,12264856,0.764208507824871,41.078827531600616,0.0477666288509321,True,0.1937019999999999,0.0394108178799183,0.1968145401023136,0.1930677448509943,0.0366638280018411,0.0363141270919118,-1.0126438001606912,-1.1051784038250565,-0.9491691068390244,-2.862032379657868,-0.022982002295943715
900101,77,0.2241751127886195,9449249,1.1928570307713486,39.90018420555952,0.0456949325173196,True,0.24195,0.0409962612507747,0.2389773067264543,0.2344132840636151,0.0383737334877265,0.0382246110201793,-0.2678423926823145,-0.3857376541839277,-0.433573371548475,-3.36257555632504,0.02057005286546477
900101,78,0.0598701580681606,31074,0.2497430229220954,83.08265043593336,0.0169200981179749,True,0.0415601228233096,0.0150205229144181,0.0505878022747761,0.0504540601454934,0.0135365598262395,0.0135211501589087,0.696397703745872,0.6857248748970398,1.2190011858558747,-0.6150904631598566,-0.012887942264913863
900101,79,0.1664501056966286,17739360,0.806292960046897,28.775569040627744,0.1182230010108692,False,0.10343,0.0364860416796396,0.1203276297936272,0.1187600029392038,0.0322627044728645,0.0319076531985022,1.4946289675626605,1.4295911225233469,1.7272387684574697,-1.3110847889149908,-0.056417622559475064
900101,80,0.1816471528281867,5363036,0.7203563567744031,23.198831636482137,0.1805659870043259,False,0.204518,0.0397970366031058,0.2076161276129187,0.2035897044023313,0.0372635779571188,0.0369666773650582,-0.5935765164246329,-0.6968996593568081,-0.5746871909057784,-3.0440509107937697,-0.020251641739061278
900101,81,0.0925637511041039,13639242,0.3710257142818277,29.87131004838968,0.0592021605076056,False,0.135151,0.0374929303546311,0.1480248420250028,0.1456693088951844,0.0343489188529538,0.0338966458916571,-1.5666906383841126,-1.6146386195829112,-1.1358741099476568,-1.9082047215139328,-0.06216893039399864
900101,82,0.2865336363425237,15600763,1.418795635524703,221.1338187340414,0.0015050737656112,True,0.306367,0.043160229075726,0.2913763270750644,0.2862059573823235,0.0400623151902909,0.0399905720665421,0.0081939052948518,-0.1208789534388754,-0.4595286930168516,-3.6283674953027463,0.09375347275127192
