event_idx,h,d_hat,sigma_dL,z_true,host_galaxy_index,n_cand_no_bh,n_cand_with_bh,f_bar_z_true,f_k_z_true,L_cat_no_bh,B_num,D_tilde_phi
134,0.73,4.706165200243443,0.19886204555608897,,-1,0,0,,,0.0,13515053.79639176,947092103.9967711
135,0.73,2.3929188131436145,0.14134232589520523,,-1,249,249,,,0.00013034061342587913,59454920.84684738,947092103.9967711
136,0.73,1.4558029457529968,0.10856423784739153,,-1,15189,15161,,,0.017058203428763494,17607502.58497379,947092103.9967711
138,0.73,2.0497765268131696,0.023726239893407046,,-1,0,0,,,0.0,18888995.604698293,947092103.9967711
139,0.73,3.175562810798077,0.046062031177400334,,-1,25,25,,,1.5176791253494239e-05,46607047.84887353,947092103.9967711
140,0.73,3.75854308519904,0.10446365678959357,,-1,2,2,,,1.7260648801780176e-12,7442775.057457105,947092103.9967711
141,0.73,2.975511574787482,0.14247757567637617,,-1,0,0,,,0.0,47539763.822162576,947092103.9967711
142,0.73,3.3514898616876345,0.024095266172605358,,-1,0,0,,,0.0,33576314.51537943,947092103.9967711
143,0.73,1.5247728436046126,0.03166925421137353,,-1,775,775,,,0.03432305947282019,30733462.281136084,947092103.9967711
144,0.73,3.677435982865636,0.0008608735335273627,,-1,0,0,,,0.0,41621207.04467349,947092103.9967711
145,0.73,1.4530643694249632,0.0057844139180160264,,-1,3422,3422,,,0.021270802747202607,27321788.58975597,947092103.9967711
146,0.73,1.859290813473066,0.02599484872426843,,-1,400,400,,,0.011784051660839668,39381483.21671044,947092103.9967711
147,0.73,2.4342665101000884,0.001829240680499091,,-1,0,0,,,0.0,60315596.89963993,947092103.9967711
148,0.73,2.1752839713411567,0.010561128023156428,,-1,244,244,,,0.00432722558461006,53713777.240156494,947092103.9967711
